"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C11";"0.01uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"C12";"10uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"C14";"100uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"C15";"0.01uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"C16";"0.01uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"C17";"0.01uF";"C-US050-035X075";"C050-035X075";"CAPACITOR, American symbol";"";"";"";"";
"D5";"1N4007";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"D6";"1N4007";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"D7";"1N4007";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"D8";"1N4007";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"D9";"ZTE";"ZTE";"DO35Z10";"Z DIODE";"";"";"";"";
"D10";"ZTE";"ZTE";"DO35Z10";"Z DIODE";"";"";"";"";
"L1";"10mH";"L-US0207/12";"0207/12";"INDUCTOR, American symbol";"";"";"";"";
"Q2";"2N4403";"2N4126";"TO92-CBE";"PNP Transistror";"";"";"";"";
"R13";"1K";"R-US_0207/12";"0207/12";"RESISTOR, American symbol";"";"";"";"";
"R14";"150K";"R-US_0207/12";"0207/12";"RESISTOR, American symbol";"";"";"";"";
"R15";"100K";"R-US_0207/12";"0207/12";"RESISTOR, American symbol";"";"";"";"";
"R16";"1K";"R-US_0207/12";"0207/12";"RESISTOR, American symbol";"";"";"";"";
"T1";"MPSA42";"2SC458";"TO92-ECB";"NPN Silicon Epitaxial Planar Transistor";"";"";"";"";
"T2";"MPSA18";"2SC458";"TO92-ECB";"NPN Silicon Epitaxial Planar Transistor";"";"";"";"";
"VIN";"SSW-101-02-S-D";"SSW-101-02-S-D";"SSW-101-02-S-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-101-02-S-D";"unknown";"82P1456";
"VOUT";"SSW-101-02-S-D";"SSW-101-02-S-D";"SSW-101-02-S-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-101-02-S-D";"unknown";"82P1456";
